SEGMENTID,PROJID,SSSTAT,SSTYPE,Location
2523048,RR148,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-89.96644234984372 30.02476471580693)
2522313,RR138,Complete,Sewer Line Repair (SSERP),POINT (-90.00503545757795 30.025006507877023)
2522868,RR153,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.97496424559395 30.023944559127138)
2527243,RR152,Complete,Sewer Line Repair (SSERP),POINT (-89.9757194030489 30.02383148334701)
2522864,RR153,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.97723036217654 30.023616255808616)
2523091,RR148,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-89.96630743074809 30.023394823051422)
2523290,RR144,Complete,Sewer Line Replacement (ESSA),POINT (-89.95766678839335 30.02306313227838)
2522773,RR149,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-89.95848275072572 30.02291035880102)
2526652,RR147,Complete,Water Line Replacement (SWB),POINT (-89.9624956439735 30.021513362770975)
2527249,RR153,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-89.97081411301839 30.021101777540526)
2523367,DPW144,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.95207484299743 30.02287696651834)
2523298,RR149,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.95504224654411 30.027835681683282)
2523323,RR149,Complete,Sewer Line Repair (SSERP),POINT (-89.95545493919074 30.023703090391855)
2523320,RR149,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.95568027211657 30.025908288445553)
2523254,RR149,Complete,Sewer Line Repair (SSERP),POINT (-89.95595923630016 30.027829228934205)
2523366,DPW144,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.95615894223724 30.021767192763694)
2518952,RR144,Complete,Sewer Line Repair (ESSA),POINT (-89.95711569006833 30.03190442948039)
2518725,DPW144,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.9568375033075 30.021598639431517)
2523252,RR144,Complete,Sewer Line Repair (ESSA),POINT (-89.95696114919068 30.027819244390123)
2518829,RR144,Complete,Sewer Line Repair (ESSA),POINT (-89.96726212916874 30.022287313584837)
2518828,RR144,Complete,Sewer Line Repair (SSERP),POINT (-89.96733144330031 30.022972927896063)
2518827,RR148,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-89.96739953638567 30.023657473477304)
2522337,RR139,Complete,Sewer Line Repair (SSERP),POINT (-89.9988941458241 30.026714301257705)
2527174,RR138,Complete,Sewer Line Repair (SSERP),POINT (-90.00096606420614 30.02276799282224)
2520657,RR138,Complete,Sewer Line Repair (SSERP),POINT (-90.01134667102134 30.022317845311548)
2520804,,Complete,Sewer Line Repair (SSERP),POINT (-90.01287236300901 30.022160094329013)
2526650,RR147,Complete,Water Line Replacement (SWB),POINT (-89.963896965049 30.02095307168429)
2523032,RR152,Complete,Sewer Line Repair (SSERP),POINT (-89.97000365765999 30.02117078301531)
2527248,RR153,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.97253962382169 30.020960252197376)
2527247,RR153,Complete,Water Line Replacement (FEMA),POINT (-89.97335221635258 30.020890070455593)
2522874,RR153,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-89.97698591939265 30.02122158880822)
2522110,RR152,Complete,Sewer Line Repair (SSERP),POINT (-89.98515134243871 30.019692125120024)
2522108,RR153,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.98590686267443 30.01963512917302)
2518542,RR148,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-89.96604718923275 30.02082446766477)
2522955,RR152,Complete,Sewer Line Repair (SSERP),POINT (-89.97674853875303 30.019479722107928)
2518634,RR152,Complete,Sewer Line Repair (SSERP),POINT (-89.970573423896 30.018739139042278)
2518636,RR153,Complete,Water Line Replacement (FEMA),POINT (-89.97564222936111 30.01782108249867)
2518635,RR152,Complete,Sewer Line Repair (SSERP),POINT (-89.97654771599582 30.01765535579631)
2518638,RR153,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-89.97795459106904 30.01741567368761)
2518341,RR152,Complete,Sewer Line Repair (SSERP),POINT (-89.98480446469831 30.01627408730474)
2518831,RR148,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-89.967123355281 30.02091773600245)
2523007,,Complete,Sewer Line Repair (SSERP),POINT (-89.97621000716677 30.018862332725046)
2523401,RR138,Complete,Sewer Line Repair (SSERP),POINT (-90.00993748639986 30.021789768709816)
2522366,RR138,Complete,Sewer Line Replacement (SSERP),POINT (-90.00096815276433 30.01892524922249)
2522380,RR138,Complete,Sewer Line Replacement (SSERP),POINT (-90.00082546543587 30.017445850859517)
2522404,RR139,Complete,Sewer Line Replacement (SSERP),POINT (-89.99126442606008 30.016743620581476)
2520858,RR138,Complete,Sewer Line Replacement (SSERP),POINT (-90.01029262982101 30.01644189400811)
2518524,RR139,Complete,Sewer Line Replacement (SSERP),POINT (-89.99106989641241 30.014831427900678)
2520912,RR186,Complete,Water Line Replacement (SWB),POINT (-90.00972428280453 30.01073966533561)
2522442,RR186,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-90.00874436240537 30.01007530958791)
2522394,RR186,Complete,Water Line Replacement (SWB),POINT (-90.00965271645894 30.010007226646156)
2522443,RR186,Complete,Water Line Replacement (SWB),POINT (-90.00862232365232 30.010500863717397)
2522393,RR186,Complete,Water Line Replacement (SWB),POINT (-90.01014265179315 30.010383929010402)
2518737,,Complete,Sewer Line Repair (SSERP),POINT (-89.98378726957777 30.031170912173938)
2518769,DPW213,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-89.9563902903744 30.026856852063496)
2523296,DPW213,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-89.95582620190692 30.023225529376933)
2518767,DPW213,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-89.95599660597613 30.02321249020418)
2518766,DPW213,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-89.95588395383461 30.02231161715158)
2523100,,Complete,Sewer Line Repair (SSERP),POINT (-89.96837981147078 30.02116966942971)
2520891,RR186,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-90.01829923199219 30.007190874038372)
2523534,RR186,Complete,Water Line Replacement (SWB),POINT (-90.01980279569932 30.006960292630023)
2520887,RR186,Complete,Water Line Replacement (FEMA),POINT (-90.02021652035135 30.00718741740685)
2523102,RR315,Complete,Sewer Line Repair (SSERP),POINT (-89.96829102417868 30.020278477864366)
2518871,RR315,Complete,Sewer Line Repair (SSERP),POINT (-89.96817573237084 30.019153997606438)
2518637,,Complete,Sewer Line Repair (SSERP),POINT (-89.97888011254175 30.01727812931219)
2515112,RR108,Complete,Sewer Line Repair (SSERP),POINT (-90.01360310566471 29.97832509171903)
2522763,RR153,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-89.97455241952443 30.018687039325272)
2522945,RR153,Complete,Water Line Replacement (FEMA),POINT (-89.98343111906175 30.017167948931807)
2523365,DPW144,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.95398029549789 30.022330600668838)
2522796,DPW146,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.9598571663634 30.02767386327318)
2512578,RR187,Complete,Sewer Line Repair (ESSA),POINT (-89.92991996733919 30.04331503267999)
2511844,RR187,Complete,Sewer Line Repair (SSERP),POINT (-89.93232539864876 30.036984640292783)
2512717,RR188,Complete,Water Line Replacement (FEMA),POINT (-89.92817210013801 30.04453308306012)
2515087,RR108,Complete,Sewer Line Repair (SSERP),POINT (-90.01455718822932 29.978543035882044)
2512721,RR187,Complete,Sewer Line Repair (SSERP),POINT (-89.9265465950365 30.04432345034963)
2512706,RR187,Complete,Sewer Line Repair (SSERP),POINT (-89.9243648547503 30.061525230687405)
2512806,RR187,Complete,Sewer Line Repair (SSERP),POINT (-89.92138503385469 30.03653743745992)
2522800,DPW201,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-89.95846259188784 30.02690927210937)
2523357,RR186,Complete,Sewer Line Repair (SSERP),POINT (-89.9707365540482 30.014916795004638)
2522767,RR186,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.97146860976575 30.01477009256321)
2512995,RR187,Complete,Sewer Line Repair (SSERP),POINT (-89.9259598528582 30.060256490279606)
2520182,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01786508322269 30.022193358845954)
2520224,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.02029564105499 30.020184631716344)
2521296,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.0159561123314 30.017518811930362)
2520616,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01415143556108 30.01541781815292)
2520802,RR133,Complete,Water Line Replacement (FEMA),POINT (-90.01581442389184 30.016039534096283)
2521292,RR133,Complete,Water Line Replacement (FEMA),POINT (-90.01842777227962 30.01584076160989)
2520896,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01567301714567 30.01455896882314)
2520873,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01829472062214 30.014444769525337)
2520902,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.013980543388 30.013109402364055)
2518600,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01545070669219 30.012214810820648)
2520875,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01815959348878 30.013052929821793)
2520900,RR134,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.01514629134607 30.01385571307485)
2520897,RR134,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.01529151662044 30.015331402275248)
2520899,RR134,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.01609199220078 30.01379354436805)
2521287,RR134,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.01900101546696 30.019725878977034)
2521285,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01922523608984 30.020573326947197)
2517926,RR133,Complete,Sewer Line Replacement (SSERP),POINT (-90.019728631537 30.014057368513328)
2520868,RR133,Complete,Sewer Line Replacement (SSERP),POINT (-90.02069370806495 30.012429429276324)
2521345,RR133,Complete,Water Line Replacement (FEMA),POINT (-90.02386361518826 30.018026993624286)
2522967,RR102,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-89.94353937550456 30.072163535653424)
2523525,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.94955923202114 30.064200254679676)
2523518,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.94826010236513 30.056947066496146)
2521758,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.96002121136137 30.056818864629292)
2523175,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.94970209737191 30.055955005470533)
2521947,RR102,Complete,,POINT (-89.97150945341835 30.05391209436114)
2521955,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.96942584400074 30.054026515367227)
2522703,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.97233605111204 30.05234380908037)
2522593,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.97053933270126 30.051274262662343)
2522523,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.9781197100793 30.04919496592126)
2522751,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.96821553700309 30.04824637447765)
2522493,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.96897071726663 30.04779241707255)
2522732,RR100,Complete,Sewer Line Replacement (SSERP),POINT (-89.97418429837329 30.047215546455185)
2521175,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.99011891392097 30.045285095410836)
2522648,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.9829284920886 30.04451232687695)
2522045,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.99131830053001 30.042592128526334)
2522170,RR100,Complete,Water Line Replacement (SWB),POINT (-89.98882519978521 30.041744339661577)
2521568,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.98918960324916 30.036550519112257)
2521278,RR100,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-90.01173824075279 30.036699950344346)
2522250,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.989999185772 30.036201142782765)
2527168,RR101,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (FEMA)",POINT (-89.99239620990811 30.035698380038614)
2521731,RR101,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (FEMA)",POINT (-90.00899496640629 30.03577485293463)
2522286,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.98887815927637 30.034120880336154)
2521737,RR100,Complete,Sewer Line Repair (SSERP),POINT (-90.00745535902536 30.033507297104407)
2527129,RR100,Complete,Sewer Line Repair (SSERP),POINT (-90.00831615829598 30.033197940951318)
2519473,RR100,Complete,Water Line Replacement (SWB),POINT (-90.0257696021047 30.032216099632794)
2520733,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.02939702838239 30.02954142415255)
2520587,RR100,Complete,Sewer Line Repair (SSERP),POINT (-90.01658939413873 30.029264776393994)
2521309,RR100,Complete,Water Line Replacement (FEMA),POINT (-90.01183056968134 30.028193660250363)
2520773,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01615958559861 30.025802490323393)
2520765,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01854233997184 30.026940929416476)
2520730,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01933389413507 30.026283702826962)
2520427,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01983400918037 30.024740916084458)
2520768,RR133,Complete,Water Line Replacement (FEMA),POINT (-90.01780371774868 30.02490492078045)
2520764,RR133,Complete,Water Line Replacement (FEMA),POINT (-90.01873663351834 30.024637592408034)
2520693,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.02265807034918 30.023929924632682)
2520185,RR133,Complete,Sewer Line Repair (ESSA),POINT (-90.01573359908298 30.02206332366603)
2521332,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01881617474645 30.021937577349124)
2520187,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.02168851569081 30.021263203017746)
2523189,RR102,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-89.94207606899226 30.0687302292582)
2522968,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.94333669531092 30.07347532340485)
2522960,,Complete,Sewer Line Repair (ESSA),POINT (-89.94398179362263 30.073544720342735)
2523125,RR102,Complete,"Drainage Line, Sewer Line (SSERP), and Water Line Replacement (FEMA)",POINT (-89.95583272962276 30.05528064823793)
2522884,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.96321582985986 30.050359695591133)
2522592,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.97143003127702 30.0518004753332)
2521974,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.97337865091015 30.044765843119674)
2527112,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.9722824297322 30.055627865106743)
2522708,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.97370516186895 30.050534584066988)
2526616,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.97542670991179 30.040668221597002)
2526970,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.97532239307151 30.04965437775878)
2522700,RR100,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.9762020146601 30.049180387887652)
2522556,RR101,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (FEMA)",POINT (-89.97944222288068 30.044857091427673)
2522649,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.98306698368508 30.045462638144553)
2522171,DPW002,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-89.98826396851878 30.04302272749557)
2522033,RR100,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-89.98770200686194 30.04427541464575)
2521567,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.99011135060174 30.037348891630987)
2521979,RR100,Complete,Sewer Line Repair (SSERP),POINT (-90.00636244419738 30.03071817739992)
2520629,RR101,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.01371067095678 30.031416866093217)
2527082,RR100,Complete,Sewer Line Repair (SSERP),POINT (-90.01410870489956 30.034897587670542)
2520623,RR133,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-90.01598240006534 30.02400338918137)
2520183,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01781658739425 30.02350068174953)
2520774,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01780693777302 30.02632170290713)
2520562,RR100,Complete,Water Line Replacement (FEMA),POINT (-90.0197741744529 30.033100658060462)
2520729,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.01994867079924 30.026520923217973)
2520560,RR100,Complete,Water Line Replacement (FEMA),POINT (-90.02065530263073 30.032835353891137)
2520426,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.02090700561455 30.026232038523013)
2520423,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.02231615314189 30.025809083057453)
2518082,RR100,Complete,Water Line Replacement (FEMA),POINT (-89.98951846564283 30.04142457200212)
2522073,DPW346,Complete,Sewer Line Repair (SSERP),POINT (-90.0074186086292 30.038270976542012)
2522115,DPW345,Complete,Water Line Replacement (FEMA),POINT (-90.00675692887712 30.03156322969444)
2527104,DPW345,Complete,Water Line Replacement (FEMA),POINT (-90.01113924798167 30.030326965031783)
2520760,RR133,Complete,Sewer Line Replacement (SSERP)/Water Line Replacement (FEMA),POINT (-90.01925933360346 30.027431465227288)
2521325,RR133,Complete,Sewer Line Repair (SSERP),POINT (-90.0215483466161 30.024090057339407)
2522737,RR100,Complete,Sewer Line Replacement (SSERP),POINT (-89.97698886779688 30.042469198571613)
2523396,RR133,Complete,Sewer Line Replacement (SSERP),POINT (-90.01980254342442 30.0147519599228)
2520903,RR134,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.01384222606289 30.01394925952423)
2523197,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.95370912836229 30.054268787862235)
2518538,RR100,Complete,Sewer Line Repair (SSERP),POINT (-89.96471581064782 30.046515431562664)
2507156,RR193,Complete,Water Line Replacement (SWB),POINT (-90.11972205087051 30.01906932437319)
2507158,RR193,Complete,Water Line Replacement (SWB),POINT (-90.11877511218538 30.019004432529236)
2507193,RR193,Complete,Water Line Replacement (SWB),POINT (-90.11577169748179 30.018832849379343)
2507080,DPW030,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.1126035181738 30.01861939100187)
2507304,RR085,Complete,Water Line Replacement (FEMA),POINT (-90.11391231658197 30.01491888493126)
2507316,RR083,Complete,Sewer Line Repair (SSERP),POINT (-90.11240898475842 30.014789924863784)
2523950,RR087,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.11298217483795 30.013556622877303)
2506269,RR193,Complete,Water Line Replacement (SWB),POINT (-90.11963324047248 30.012446081698297)
2506271,RR193,Complete,Sewer Line Repair (SSERP),POINT (-90.1196855230559 30.011789229900444)
2506965,DPW059,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.11821774908739 30.010975871636873)
2507342,RR193,Complete,Sewer Line Repair (SSERP),POINT (-90.11742902034435 30.009113533592775)
2506998,RR085,Complete,Water Line Replacement (FEMA),POINT (-90.11439893269808 30.00844089529176)
2507246,DPW058,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.11844933931415 30.007806972363852)
2507250,DPW058,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.11851025127288 30.0069843508587)
2507349,RR193,Complete,Water Line Replacement (FEMA),POINT (-90.11570109648002 30.006829662835347)
2507373,RR090,Complete,Sewer Line Repair (ESSA),POINT (-90.11366383807746 30.004472452158357)
2507268,DPW058,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.1186927774585 30.004516365768836)
2507205,RR193,Complete,Water Line Replacement (SWB),POINT (-90.11637857887014 30.01670287802903)
2507291,RR193,Complete,Water Line Replacement (SWB),POINT (-90.11550566220225 30.015826016105233)
2507247,RR193,Complete,Water Line Replacement (SWB),POINT (-90.11701440882169 30.00814189367884)
2507255,RR194,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.11713769424753 30.00649512898961)
2507265,DPW080,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),POINT (-90.11719825655703 30.00566675098752)
2507269,RR193,Complete,Sewer Line Repair (SSERP),POINT (-90.11725747638516 30.004850828677462)
2507273,RR193,Complete,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),POINT (-90.1173189770473 30.004027290533728)
2507086,RR193,Complete,Sewer Line Repair (SSERP),POINT (-90.11772106875696 30.01140245525059)
2507340,RR193,Complete,Sewer Line Repair (SSERP),POINT (-90.11792564406804 30.008686919659397)
2506277,RR193,Complete,Sewer Line Repair (SSERP),POINT (-90.11916441710565 30.010107702130924)
2507235,RR193,Complete,Sewer Line Repair (SSERP),POINT (-90.11926379886685 30.008760552123643)
2507228,RR193,Complete,Sewer Line Repair (SSERP),POINT (-90.11997581683349 30.008304226255227)
2507231,RR193,Complete,Water Line Replacement (SWB),POINT (-90.12010735384798 30.006662190151502)
2507259,RR193,Complete,Water Line Replacement (SWB),POINT (-90.12023624999155 30.00501703662793)
2507261,RR193,Complete,Water Line Replacement (SWB),POINT (-90.12030075813156 30.004193335132936)
2507221,RR193,Complete,Sewer Line Repair (SSERP),POINT (-90.12042511301752 30.010837715404396)
2508581,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.09909787698678 30.025818694165125)
2508211,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.11045874465525 30.025548847210782)
2508213,,Complete,Sewer Line Repair (SSERP),POINT (-90.11177601948694 30.024876939924056)
2508226,RR078,Complete,Sewer Line Repair (ESSA),POINT (-90.10674325741883 30.024968208838196)
2524178,RR069,Complete,Water Line Replacement (FEMA),POINT (-90.07659969133302 30.02441919248695)
2508331,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.10059016068418 30.024921575417814)
2508631,RR069,Complete,Sewer Line Repair (SSERP),POINT (-90.07886778233278 30.024560233898157)
2509064,RR069,Complete,Sewer Line Repair (SSERP),POINT (-90.07215641121904 30.023870626101623)
2508634,RR069,Complete,Sewer Line Repair (SSERP),POINT (-90.07802151817096 30.023540986190124)
2508709,RR073,Complete,Water Line Replacement (SWB),POINT (-90.08667509607736 30.023587976345556)
2508335,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.1004145561344 30.022095268184554)
2508224,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.10795294108722 30.022322439770022)
2509061,RR069,Complete,Sewer Line Repair (SSERP),POINT (-90.07376105735146 30.024489334818256)
2508834,RR069,Complete,Sewer Line Repair (SSERP),POINT (-90.07711778561104 30.023105586812278)
2508632,RR069,Complete,Sewer Line Repair (SSERP),POINT (-90.07855987354417 30.025226845482894)
2508753,RR073,Complete,Water Line Replacement (SWB),POINT (-90.08493633147185 30.023079212843275)
2508590,RR073,Complete,Water Line Replacement (FEMA),POINT (-90.09666499058822 30.024792819773797)
2508326,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.10036687978706 30.026460050680853)
2530131,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.10275183242334 30.025966588026392)
2508219,RR301,Complete,Sewer Line Repair (SSERP),POINT (-90.110709705739 30.02478164956321)
2508210,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.1113066231759 30.0256935774871)
2508796,RR069,Complete,Sewer Line Repair (SSERP),POINT (-90.07720565189496 30.022566955759885)
2508456,RR069,Complete,Sewer Line Repair (SSERP),POINT (-90.0766343438812 30.021749139627804)
2508458,RR038,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (SWB)",POINT (-90.07743400160733 30.020375651682727)
2508856,DPW582,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.07729795851326 30.018692423785765)
2508610,RR038,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (FEMA)",POINT (-90.08086271162023 30.016787062565285)
2508860,RR038,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (SWB)",POINT (-90.0771653186619 30.017055624855587)
2508853,RR037,Complete,Sewer Line Repair (ESSA),POINT (-90.07993879444781 30.016888711251458)
2508862,RR038,Complete,"Drainage Line, Sewer Line Replacement (SWB), and Water Line Replacement (SWB)",POINT (-90.07710072879512 30.016237447083647)
2524156,RR037,Complete,Water Line Replacement (FEMA),POINT (-90.08300552572288 30.013209756114435)
2523913,DPW291,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.08176782265495 30.014129712873682)
2508873,RR037,Complete,Water Line Replacement (FEMA),POINT (-90.07632646700725 30.018345596106375)
2508861,RR037,Complete,Water Line Replacement (FEMA),POINT (-90.0785187782821 30.016561099699178)
2508855,RR037,Complete,Water Line Replacement (FEMA)/Sewer Line Repair (ESSA),POINT (-90.07866826642373 30.0190176270551)
2508449,DPW175,Complete,Water Line Replacement (FEMA),POINT (-90.08063718326996 30.02094393583039)
2508787,RR037,Complete,Water Line Replacement (FEMA),POINT (-90.08097602332673 30.019289337398206)
2524249,RR037,Complete,Water Line Replacement (FEMA),POINT (-90.08141392894477 30.017993025394905)
2508779,RR074,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.08435838144234 30.022254989953183)
2508319,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.10480565407154 30.021774199218743)
2508320,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.10395314666421 30.021995633357513)
2508218,RR078,Complete,Sewer Line Repair (SSERP),POINT (-90.11050257807915 30.022248801237446)
2508257,DPW030,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.10865153741601 30.019182088109467)
2508339,RR083,Complete,Sewer Line Repair (SSERP),POINT (-90.10410747043531 30.018775795653614)
2523617,RR083,Complete,Sewer Line Repair (SSERP),POINT (-90.10111846967854 30.018511253477477)
2508281,DPW030,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",POINT (-90.1087595215958 30.01827181611578)
2508285,RR084,Complete,Sewer Line Repair (SSERP),POINT (-90.10770928472016 30.018177557450425)
2508293,RR085,Complete,Water Line Replacement (FEMA),POINT (-90.10625244558472 30.018046623661238)
2508345,RR083,Complete,Sewer Line Repair (SSERP),POINT (-90.10521758360187 30.017957170756922)
2508346,RR085,Complete,Water Line Replacement (FEMA),POINT (-90.10421276494853 30.017865366602045)
2508273,RR083,Complete,Sewer Line Repair (SSERP),POINT (-90.1032051305847 30.017774514251723)
2523615,RR083,Complete,Sewer Line Repair (SSERP),POINT (-90.10122797627334 30.01760091188269)
2508271,RR085,Complete,Water Line Replacement (FEMA),POINT (-90.1043689610337 30.016544691049663)
2508288,RR087,Complete,"Drainage Line, Sewer Line (SWB), and Water Line Replacement (FEMA)",POINT (-90.10786603712579 30.01685741286808)
2508276,RR085,Complete,Sewer Line Repair (SSERP),POINT (-90.10336333745116 30.016454523356522)
2508419,RR085,Complete,Water Line Replacement (FEMA),POINT (-90.10235659450473 30.01636422262453)
