SEGMENTID,PROJID,SSSTAT,SSTYPE,Location
2501804,,Complete,Sewer Line Repair (SSERP),POINT (-90.12594921252186 29.918421275428123)
2501356,RR309,Complete,Sewer Line Repair (SSERP),POINT (-90.12623428719533 29.92073001430902)
2501351,RR309,Complete,Sewer Line Repair (SSERP),POINT (-90.12637374692693 29.922955688470285)
2501354,RR309,Complete,Sewer Line Repair (SSERP),POINT (-90.12669938944761 29.919781830460156)
2501802,,Complete,Sewer Line Repair (SSERP),POINT (-90.12682696565612 29.92211191037749)
2501803,,Complete,Sewer Line Repair (SSERP),POINT (-90.1271281817199 29.918902379786935)
2501352,RR309,Complete,Sewer Line Replacement (SSERP),POINT (-90.12754412766004 29.921263399646044)
2501790,RR309,Complete,Sewer Line Repair (SSERP),POINT (-90.12779737662986 29.92023111320058)
2501368,RR309,Complete,Sewer Line Replacement (SSERP),POINT (-90.12823645209642 29.919350569411577)
2529946,DPW307,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.10674477704828 29.945409113848516)
2503737,,Complete,Sewer Line Repair (SSERP),POINT (-90.08635086008393 29.931430733266062)
2505432,,Complete,Sewer Line Repair (SSERP),POINT (-90.08315761436235 29.92874585059693)
2504200,,Complete,Sewer Line Repair (SSERP),POINT (-90.08684146145823 29.92795829831453)
2505175,RR311,Complete,Sewer Line Repair (SSERP),POINT (-90.08259005419067 29.92797694894188)
2505332,RR311,Complete,Sewer Line Repair (SSERP),POINT (-90.08115027439153 29.927577548892653)
2505094,RR311,Complete,Sewer Line Replacement (SSERP),POINT (-90.08279953718362 29.92664877796407)
2504366,RR311,Complete,Sewer Line Replacement (SSERP),POINT (-90.08698302524296 29.92659836246534)
2506051,,Complete,Sewer Line Replacement (SSERP),POINT (-90.08216388573166 29.925788525879586)
2506053,RR311,Complete,Sewer Line Replacement (SSERP),POINT (-90.08153917490175 29.92494310405976)
2506063,RR311,Complete,Sewer Line Replacement (SSERP),POINT (-90.08091231520652 29.924105828468868)
2506065,,Complete,Sewer Line Replacement (SSERP),POINT (-90.08025198706443 29.92321562609716)
2505783,,Complete,Sewer Line Replacement (SSERP),POINT (-90.07879708019317 29.9228533681384)
2503719,,Complete,Sewer Line Repair (SSERP),POINT (-90.08827940692132 29.921570817756514)
2504779,,Complete,Sewer Line Repair (SSERP),POINT (-90.087832660733 29.920645750898093)
2504997,RR310,Complete,Sewer Line Repair (SSERP),POINT (-90.08672279903477 29.918702222698638)
2505782,DPW547B,Complete,Sewer Line Replacement (SSERP),POINT (-90.07948983785582 29.92298868645331)
2505774,,Complete,Sewer Line Replacement (SSERP),POINT (-90.0799781222282 29.925223656265533)
2505445,DPW114,Complete,Sewer Line Repair (SSERP),POINT (-90.08123207825223 29.926921100697204)
2506056,,Complete,Sewer Line Replacement (SSERP),POINT (-90.08142973291818 29.9255988984767)
2505443,DPW114,Complete,Sewer Line Repair (SSERP),POINT (-90.08205758555178 29.926453286676633)
2506066,,Complete,Sewer Line Replacement (SSERP),POINT (-90.08317239337194 29.922233475872375)
2505437,DPW199,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.08412077632848 29.92652247615351)
2506178,DPW114,Complete,Sewer Line Repair (SSERP),POINT (-90.08424564480478 29.925232269997228)
2506199,RR311,Complete,Sewer Line Replacement (SSERP),POINT (-90.08464394899495 29.92140898136169)
2506175,DPW199,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.08488451229306 29.92609617761912)
2506203,RR311,Complete,Sewer Line Replacement (SSERP),POINT (-90.08530713875939 29.921093702685713)
2506103,DPW199,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.08569650739604 29.925635599833917)
2506101,DPW199,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.08650313581664 29.925186557455113)
2504201,,Complete,Sewer Line Repair (SSERP),POINT (-90.0868522155689 29.928740674703413)
2504906,DPW199,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.0873878441052 29.924733776619004)
2503738,DPW184,Complete,Sewer Line Repair (SSERP),POINT (-90.08780621150245 29.930026455952294)
2504909,DPW199,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.08798963280678 29.92446967617943)
2501822,,Complete,Sewer Line Repair (SSERP),POINT (-90.12434378897026 29.917830699853226)
2501436,RR308,Complete,Sewer Line Repair (SSERP),POINT (-90.11420612696028 29.945443434540845)
2501399,RR001,Complete,Sewer Line Repair (SSERP),POINT (-90.12374162147286 29.928065413951707)
2501712,SELA22,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.11520914812213 29.920183497229086)
2502019,DPW114,Complete,Sewer Line Repair (SSERP),POINT (-90.1124339725788 29.9204540526952)
2504496,,Complete,Sewer Line Repair (SSERP),POINT (-90.10681026973913 29.91637018941357)
2502155,,Complete,Sewer Line Replacement (SSERP),POINT (-90.10354461288604 29.94913345167986)
2503537,SELA23A,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.10224227728403 29.927058239180287)
2504333,DPW324,Complete,Sewer Line Repair (SSERP),POINT (-90.09264513962118 29.927716076263973)
2528949,DPW199,Complete,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",POINT (-90.08694922743422 29.92493855578879)
2559244,SELA27,Complete,"Drainage Line, Sewer Line, and Water Line Replacement",POINT (-90.09115073195541 29.92750988986547)
